day,month,fav_count,retweet_count,tweet_count
8,07-2020,51264,1,1
7,07-2020,152858,0,1
5,07-2020,11115,0,1
4,07-2020,61168,0,2
3,07-2020,22676,0,1
2,07-2020,171,0,1
30,06-2020,39472,0,1
28,06-2020,11825,0,1
27,06-2020,30966,0,2
24,06-2020,92987,0,1
21,06-2020,69330,0,2
20,06-2020,208781,0,2
17,06-2020,46352,0,1
16,06-2020,88893,0,1
14,06-2020,118515,0,1
13,06-2020,73116,0,2
5,06-2020,992,0,1
4,06-2020,13898,0,2
28,05-2020,24885,0,2
27,05-2020,618,0,1
25,05-2020,26344,1,1
21,05-2020,10978,0,1
15,05-2020,0,1,0
14,05-2020,7711,0,1
10,05-2020,15640,0,1
3,05-2020,25006,0,1
1,05-2020,0,1,0
30,04-2020,55120,0,1
29,04-2020,55585,0,1
28,04-2020,17755,0,1
24,04-2020,57811,0,1
22,04-2020,72007,0,1
20,04-2020,3025,0,1
18,04-2020,73768,0,1
14,04-2020,26466,0,2
12,04-2020,117377,1,3
10,04-2020,0,1,0
9,04-2020,0,1,0
8,04-2020,19811,0,1
7,04-2020,11481,0,1
6,04-2020,26915,0,2
5,04-2020,95405,0,2
3,04-2020,12997,0,1
2,04-2020,26704,0,1
1,04-2020,48377,0,1
31,03-2020,34337,0,1
29,03-2020,0,2,0
26,03-2020,0,1,0
25,03-2020,24760,0,1
24,03-2020,25219,1,2
22,03-2020,148865,0,3
21,03-2020,67818,0,2
20,03-2020,36296,0,4
18,03-2020,13342,0,1
17,03-2020,0,1,0
15,03-2020,0,1,0
14,03-2020,18211,0,1
10,03-2020,28535,0,1
9,03-2020,9044,0,1
8,03-2020,22506,0,1
6,03-2020,6266,0,1
5,03-2020,22071,0,1
2,03-2020,0,1,0
29,02-2020,27608,0,1
28,02-2020,0,1,0
27,02-2020,30771,0,1
25,02-2020,23430,1,1
24,02-2020,29998,0,1
22,02-2020,5286,0,1
21,02-2020,52587,0,2
20,02-2020,0,1,0
17,02-2020,23364,0,1
14,02-2020,31166,0,1
13,02-2020,0,1,0
12,02-2020,29815,0,1
11,02-2020,24992,2,1
8,02-2020,24853,0,1
6,02-2020,8057,0,1
5,02-2020,146431,0,3
4,02-2020,95974,0,1
3,02-2020,16865,0,1
2,02-2020,35752,1,1
31,01-2020,25588,0,1
29,01-2020,126619,0,2
27,01-2020,31052,0,1
26,01-2020,45018,0,2
25,01-2020,26524,0,1
24,01-2020,33036,0,2
23,01-2020,32550,0,3
22,01-2020,26538,0,1
19,01-2020,53310,0,1
16,01-2020,1765,0,1
15,01-2020,6449,0,1
14,01-2020,27534,0,1
13,01-2020,14287,0,2
12,01-2020,31560,0,1
11,01-2020,65377,0,2
7,01-2020,0,1,0
5,01-2020,0,1,0
2,01-2020,36936,0,1
31,12-2019,75860,0,2
25,12-2019,0,1,0
23,12-2019,0,2,0
22,12-2019,51191,0,1
14,12-2019,61242,0,1
12,12-2019,68569,0,1
9,12-2019,15592,0,1
8,12-2019,0,1,0
7,12-2019,6103,0,2
6,12-2019,65114,1,1
5,12-2019,17270,0,1
4,12-2019,16025,2,1
1,12-2019,26422,0,1
27,11-2019,41981,0,1
26,11-2019,0,1,0
21,11-2019,4796,0,1
17,11-2019,28121,0,1
16,11-2019,8814,0,1
14,11-2019,12196,0,1
12,11-2019,11273,0,1
9,11-2019,160519,0,1
5,11-2019,86239,0,1
4,11-2019,0,1,0
3,11-2019,0,1,0
2,11-2019,33822,0,1
1,11-2019,35280,0,1
30,10-2019,0,1,0
27,10-2019,10484,0,1
25,10-2019,29498,0,2
24,10-2019,3860,0,1
23,10-2019,0,1,0
20,10-2019,314208,0,97
17,10-2019,124992,0,2
16,10-2019,27015,0,3
15,10-2019,102377,0,3
13,10-2019,37151,0,1
12,10-2019,9927,0,1
11,10-2019,26987,0,1
8,10-2019,15503,0,2
7,10-2019,29264,0,1
6,10-2019,38156,0,1
3,10-2019,59396,0,1
2,10-2019,14375,0,2
29,09-2019,19669,0,1
7,09-2019,73432,0,1
5,09-2019,7899,0,1
4,09-2019,32172,0,1
2,09-2019,23208,0,1
1,09-2019,29799,0,1
28,08-2019,5471,0,1
26,08-2019,26858,0,1
25,08-2019,80104,0,2
24,08-2019,53647,0,2
23,08-2019,55005,0,1
19,08-2019,102898,0,1
17,08-2019,17931,0,1
15,08-2019,72721,0,2
14,08-2019,5429,0,1
12,08-2019,89461,0,2
6,08-2019,69375,0,1
4,08-2019,22277,0,1
3,08-2019,36998,0,1
2,08-2019,0,1,0
1,08-2019,50592,0,1
31,07-2019,0,1,0
30,07-2019,15374,0,1
29,07-2019,0,1,0
26,07-2019,40809,0,1
24,07-2019,3364,0,1
23,07-2019,126738,0,2
22,07-2019,59886,0,2
21,07-2019,7112,0,1
20,07-2019,29558,0,1
18,07-2019,63175,0,1
17,07-2019,35612,0,1
16,07-2019,72548,0,2
14,07-2019,257512,0,4
10,07-2019,111495,0,3
9,07-2019,54771,0,1
8,07-2019,145842,0,1
7,07-2019,323625,0,2
6,07-2019,119747,0,3
4,07-2019,30842,0,1
3,07-2019,108213,0,2
2,07-2019,167520,0,2
30,06-2019,170963,0,2
28,06-2019,2844,0,1
27,06-2019,82497,0,3
25,06-2019,29665,0,1
22,06-2019,122286,0,2
21,06-2019,100826,0,3
20,06-2019,61959,0,1
19,06-2019,84931,0,2
17,06-2019,72859,0,1
16,06-2019,220077,0,4
