month(days),mean_like,sd_like,mean_retweet,sd_retweet,mean_tweet,sd_tweet
07-2020 (>15),,,,,,
07-2020 (<=15),83863.16666666667,53332.574989087734,0.0,0.0,2.3333333333333335,1.2110601416389966
06-2020 (>15),44242.11111111111,54227.062285459564,0.0,0.0,1.3333333333333333,0.5
06-2020 (<=15),76872.14285714286,74674.77353704881,0.14285714285714285,0.37796447300922725,1.7142857142857142,1.1126972805283735
05-2020 (>15),54354.6,60114.224745895204,0.0,0.0,1.4,0.5477225575051661
05-2020 (<=15),51382.8,37436.04413693069,0.0,0.0,1.5,0.7071067811865476
04-2020 (>15),83238.83333333333,92941.34513555343,0.0,0.0,21.0,31.200233099362343
04-2020 (<=15),36425.857142857145,55919.95583399714,0.0,0.0,2.4285714285714284,2.5071326821120348
03-2020 (>15),67103.125,56027.87246269868,0.125,0.3535533905932738,2.5,0.9258200997725514
03-2020 (<=15),46764.63636363636,38197.9001759854,0.0,0.0,1.8181818181818181,1.4012980994907414
02-2020 (>15),43621.72727272727,26267.84797843519,0.0,0.0,6.636363636363637,9.436871592564215
02-2020 (<=15),53821.846153846156,43918.78731979089,0.0,0.0,2.3076923076923075,1.797434068545834
01-2020 (>15),34457.333333333336,23488.673515628965,0.0,0.0,1.2666666666666666,0.45773770821706344
01-2020 (<=15),62943.36363636364,46438.303836967876,0.0,0.0,1.2727272727272727,0.46709936649691375
12-2019 (>15),51874.25,25464.948633693857,0.0,0.0,1.0,0.0
12-2019 (<=15),73371.625,53728.33866495807,0.0,0.0,1.75,0.4629100498862757
11-2019 (>15),44476.5,36272.05859385932,0.0,0.0,1.6666666666666667,0.7784989441615229
11-2019 (<=15),57380.4,34628.26564207018,0.0,0.0,1.3,0.4830458915396479
10-2019 (>15),61738.88888888889,34508.37243497744,0.0,0.0,1.5555555555555556,0.5270462766947299
10-2019 (<=15),76675.81818181818,59315.85171068217,0.0,0.0,1.9090909090909092,1.3751033019046572
09-2019 (>15),59212.88888888889,26177.627726001283,0.0,0.0,1.5555555555555556,0.7264831572567789
09-2019 (<=15),81315.5,52452.7014117375,0.0,0.0,2.0,0.9428090415820634
08-2019 (>15),70348.45454545454,50311.871061139514,0.0,0.0,2.1818181818181817,1.6011359603844901
08-2019 (<=15),75075.18181818182,30486.266405770915,0.0,0.0,1.7272727272727273,0.9045340337332908
07-2019 (>15),92317.66666666667,53853.08967459527,0.0,0.0,7.333333333333333,16.424067705656842
07-2019 (<=15),146242.91666666666,90263.51505096653,0.0,0.0,1.4166666666666667,0.6685579234215215
06-2019 (>15),129795.4,78702.79548359978,0.0,0.0,2.1,0.8755950357709131
06-2019 (<=15),115228.0,59553.014338966444,0.0,0.0,1.75,1.0350983390135313
05-2019 (>15),65767.0,44596.95766155654,0.0,0.0,1.2857142857142858,0.48795003647426666
05-2019 (<=15),52747.0,61295.72124545073,0.09090909090909091,0.3015113445777636,1.1818181818181819,0.7507571935295484
04-2019 (>15),63216.916666666664,44111.46741537714,0.08333333333333333,0.28867513459481287,8.833333333333334,11.746050271035662
04-2019 (<=15),43518.833333333336,29547.29829776269,0.0,0.0,1.8333333333333333,1.4668044012461756
03-2019 (>15),32431.333333333332,20914.850988392598,0.0,0.0,1.5,0.5477225575051661
03-2019 (<=15),62513.22222222222,44278.18599146135,0.0,0.0,1.5555555555555556,0.7264831572567789
02-2019 (>15),54633.25,47913.41676026514,0.0,0.0,1.375,0.5175491695067657
02-2019 (<=15),41514.75,30246.482353915377,0.0,0.0,1.25,0.4629100498862757
