month(days),mean_like,sd_like,mean_retweet,sd_retweet,mean_tweet,sd_tweet
07-2020 (>15),,,,,,
07-2020 (<=15),49875.333333333336,55583.39729691472,0.16666666666666666,0.408248290463863,1.1666666666666667,0.408248290463863
06-2020 (>15),73575.75,61461.77097943543,0.0,0.0,1.375,0.5175491695067657
06-2020 (<=15),51630.25,54537.94486028359,0.0,0.0,1.5,0.5773502691896257
05-2020 (>15),15706.25,12212.327279570154,0.25,0.5,1.25,0.5
05-2020 (<=15),9671.4,10743.477872644407,0.4,0.5477225575051662,0.6,0.5477225575051662
04-2020 (>15),47867.28571428572,27025.28315432474,0.0,0.0,1.0,0.0
04-2020 (<=15),35048.454545454544,38129.586340173264,0.2727272727272727,0.46709936649691375,1.2727272727272727,0.9045340337332909
03-2020 (>15),35063.7,45201.93270462374,0.5,0.7071067811865476,1.4,1.349897115421106
03-2020 (<=15),13329.125,10949.676634983989,0.25,0.4629100498862757,0.75,0.4629100498862757
02-2020 (>15),21449.333333333332,17162.62933673043,0.3333333333333333,0.5,0.8888888888888888,0.6009252125773316
02-2020 (<=15),41390.5,45032.56348527758,0.4,0.6992058987801011,1.1,0.7378647873726218
01-2020 (>15),40200.0,33201.91271933324,0.0,0.0,1.5,0.7071067811865476
01-2020 (<=15),22767.875,22332.787858965825,0.25,0.4629100498862757,1.0,0.7559289460184544
12-2019 (>15),31762.75,38034.05899431894,0.75,0.9574271077563381,0.75,0.9574271077563381
12-2019 (<=15),30704.11111111111,26788.463120550816,0.4444444444444444,0.7264831572567789,1.0,0.5
11-2019 (>15),16742.4,17694.232289082225,0.2,0.44721359549995804,0.8,0.44721359549995804
11-2019 (<=15),42416.125,55388.13982236759,0.25,0.4629100498862757,0.75,0.4629100498862757
10-2019 (>15),63757.125,109253.73841715898,0.25,0.4629100498862757,13.25,33.855786591279866
10-2019 (<=15),37015.11111111111,28818.732742109103,0.0,0.0,1.4444444444444444,0.7264831572567789
09-2019 (>15),19669.0,,0.0,,1.0,
09-2019 (<=15),33302.0,24347.310190244836,0.0,0.0,1.0,0.0
08-2019 (>15),48844.857142857145,34833.56651004206,0.0,0.0,1.2857142857142858,0.48795003647426666
08-2019 (<=15),43356.625,32776.8881419188,0.125,0.3535533905932738,1.125,0.6408699444616557
07-2019 (>15),37848.0,37922.18662903384,0.16666666666666666,0.38924947208076144,1.0833333333333333,0.6685579234215215
07-2019 (<=15),146618.55555555556,93097.41298917912,0.0,0.0,2.111111111111111,1.0540925533894598
06-2019 (>15),94890.7,63939.21922689113,0.0,0.0,2.0,1.0540925533894598
06-2019 (<=15),64001.583333333336,76511.61032686873,0.3333333333333333,0.7784989441615231,2.3333333333333335,2.1033883198882757
05-2019 (>15),62386.11111111111,58420.468269786325,0.1111111111111111,0.3333333333333333,1.2222222222222223,0.6666666666666666
05-2019 (<=15),33586.2,58394.88735953973,0.2,0.42163702135578396,1.2,1.1352924243950933
04-2019 (>15),26063.25,18117.325279837933,0.0,0.0,1.1666666666666667,0.38924947208076155
04-2019 (<=15),43132.545454545456,24357.713198753434,0.0,0.0,1.7272727272727273,0.7862453931068966
03-2019 (>15),42588.0,39509.971427757606,0.2,0.42163702135578396,2.7,2.4517567397911058
03-2019 (<=15),39175.11111111111,38321.26242520085,0.0,0.0,1.3333333333333333,0.7071067811865476
02-2019 (>15),41727.833333333336,52487.92917011174,0.16666666666666666,0.408248290463863,0.8333333333333334,0.408248290463863
02-2019 (<=15),23220.083333333332,15729.900268182557,0.08333333333333333,0.28867513459481287,1.5,0.674199862463242
01-2019 (>15),32844.9,27086.558816956513,0.3,0.48304589153964794,1.8,1.0327955589886446
01-2019 (<=15),40037.9,23429.338030436207,0.4,0.966091783079296,1.8,1.0327955589886446
12-2018 (>15),25088.333333333332,21748.9446654454,0.25,0.45226701686664544,1.8333333333333333,2.2495790852081776
12-2018 (<=15),34823.92307692308,13018.672445514163,0.6923076923076923,0.9473309334313418,5.461538461538462,8.940687749602793
11-2018 (>15),25528.25,18284.619339389148,0.4166666666666667,0.6685579234215214,1.75,1.4222261679238197
11-2018 (<=15),33124.61538461538,17390.78423829923,0.5384615384615384,0.5188745216627709,1.7692307692307692,1.4232501627054273
10-2018 (>15),52275.666666666664,39880.72760194586,0.3333333333333333,0.49236596391733095,11.583333333333334,32.90332487574452
10-2018 (<=15),25763.923076923078,16527.744131517862,0.07692307692307693,0.2773500981126146,1.4615384615384615,0.8770580193070292
09-2018 (>15),36760.72727272727,27117.542422169856,0.45454545454545453,0.6875516509523286,1.8181818181818181,1.3280197150781925
09-2018 (<=15),24573.0,23441.095558868405,0.7272727272727273,0.9045340337332909,1.2727272727272727,1.1037127426019047
08-2018 (>15),46813.25,19847.790350565476,0.1875,0.4031128874149275,3.4375,1.459166428707386
08-2018 (<=15),36877.07692307692,24494.8387164233,0.38461538461538464,0.5063696835418333,1.1538461538461537,0.37553380809940534
07-2018 (>15),32604.6,19989.48076252996,0.3,0.4830458915396479,1.5,0.5270462766947299
07-2018 (<=15),66459.23076923077,36483.093934391596,0.0,0.0,2.6153846153846154,1.2608503439122303
06-2018 (>15),28618.18181818182,13556.744644775028,0.2727272727272727,0.46709936649691375,1.7272727272727273,0.9045340337332909
06-2018 (<=15),32756.30769230769,21386.88435850586,0.23076923076923078,0.4385290096535146,1.6153846153846154,0.7679476477883045
05-2018 (>15),46922.72727272727,34564.15523368366,0.5454545454545454,0.9341987329938275,3.8181818181818183,7.096734204099541
05-2018 (<=15),33537.8,11169.836310349405,0.2,0.44721359549995804,1.2,0.4472135954999579
04-2018 (>15),78624.1,34604.41897102482,0.7,1.0593499054713802,2.3,0.9486832980505138
04-2018 (<=15),58990.71428571428,25296.30591586469,0.35714285714285715,0.4972451580988468,3.2857142857142856,1.6837947722821909
03-2018 (>15),32097.5,26435.252496939065,0.42857142857142855,0.7559289460184544,1.2857142857142858,0.825420305855557
03-2018 (<=15),25858.545454545456,23588.663630496903,0.8181818181818182,0.7507571935295483,1.2727272727272727,1.1908743922772957
02-2018 (>15),60402.444444444445,33287.54080024203,1.1111111111111112,1.0540925533894598,5.0,7.582875444051551
02-2018 (<=15),57620.63636363636,41480.90250289337,0.6363636363636364,0.674199862463242,1.8181818181818181,1.1677484162422844
01-2018 (>15),44774.07142857143,43607.60261602996,0.42857142857142855,0.646206172658864,1.6428571428571428,1.3926810257774174
01-2018 (<=15),27700.14285714286,17625.942038576344,0.42857142857142855,0.5135525910130955,1.2857142857142858,0.9138735334633754
12-2017 (>15),46951.444444444445,40207.6676770461,0.4444444444444444,0.5270462766947299,1.3333333333333333,0.7071067811865476
12-2017 (<=15),37255.38461538462,42184.74024758729,0.6153846153846154,0.6504436355879909,1.4615384615384615,0.8770580193070292
11-2017 (>15),18831.2,16498.15709438818,0.6,0.6992058987801011,1.0,0.6666666666666666
11-2017 (<=15),27399.923076923078,19781.220060373504,1.6923076923076923,2.2870874995874626,2.3076923076923075,2.323238235187235
10-2017 (>15),49923.0,49954.74453142564,2.75,3.0876096471758427,13.625,37.17682970166588
10-2017 (<=15),21367.8,15790.444118426272,1.1333333333333333,1.0600988273786192,1.3333333333333333,1.0465362369445672
09-2017 (>15),33358.92857142857,22839.518307813916,3.2142857142857144,3.577248006038063,2.0,1.2403473458920846
09-2017 (<=15),19048.14285714286,11897.771781415096,1.1428571428571428,1.0994504121565505,1.6428571428571428,0.928782731664065
08-2017 (>15),24670.285714285714,20973.75573435515,1.2857142857142858,1.589802669350045,2.5714285714285716,2.68082322931095
08-2017 (<=15),24071.214285714286,18961.447519308025,0.9285714285714286,0.615727926214882,1.9285714285714286,1.5915297775935682
07-2017 (>15),41495.0,37250.622779070036,1.5333333333333334,1.505545305418162,2.2,1.6561573424216502
07-2017 (<=15),36181.846153846156,21283.79437054616,2.0,1.8708286933869707,2.3846153846153846,2.063106942552968
06-2017 (>15),46997.26666666667,36382.06551009649,2.7333333333333334,3.2396354880199243,2.6,1.7237832147426693
06-2017 (<=15),39280.933333333334,44359.028202460286,4.066666666666666,6.638272867747052,2.6,2.097617696340303
05-2017 (>15),29489.0,15388.993941558796,7.9375,6.082420022765062,3.0,1.0954451150103321
05-2017 (<=15),18325.866666666665,7552.547951015004,4.533333333333333,3.0441200151548995,1.9333333333333333,1.0327955589886444
04-2017 (>15),27274.466666666667,18717.59024426972,4.066666666666666,2.6583202716502514,2.8666666666666667,2.642149197330155
04-2017 (<=15),23523.733333333334,21528.74767264415,4.666666666666667,2.9920529661723823,2.8666666666666667,2.0307165050320353
03-2017 (>15),12894.75,14575.30387333314,3.375,2.0289570391377603,1.4375,1.631716887208072
03-2017 (<=15),17315.14285714286,18036.442868887352,6.0,3.012793235010175,1.5714285714285714,1.3985864135061359
02-2017 (>15),24647.583333333332,18303.140343858202,12.166666666666666,12.081791960205944,2.6666666666666665,2.674231693686086
02-2017 (<=15),,,,,,
